County,State,FIPS Code,Formatted FIPS,Estimated percent of workers with a work commute of more than an
Scott,IN,18143,18143,5.65
Shelby,IN,18145,18145,6.34
Spencer,IN,18147,18147,7.93
Starke,IN,18149,18149,13.47
Steuben,IN,18151,18151,6.22
Sullivan,IN,18153,18153,4.87
Switzerland,IN,18155,18155,22.31
Tippecanoe,IN,18157,18157,3.28
Tipton,IN,18159,18159,7.83
Union,IN,18161,18161,10.98
Vanderburgh,IN,18163,18163,2.85
Vermillion,IN,18165,18165,7.33
Vigo,IN,18167,18167,5.01
Wabash,IN,18169,18169,6.35
Warren,IN,18171,18171,6.62
Warrick,IN,18173,18173,4.57
Washington,IN,18175,18175,12.99
Wayne,IN,18177,18177,7.09
Wells,IN,18179,18179,3.94
White,IN,18181,18181,7.69
Whitley,IN,18183,18183,4.41
Adair,IA,19001,19001,10.89
Adams,IA,19003,19003,6.83
Allamakee,IA,19005,19005,7.35
Appanoose,IA,19007,19007,8.08
Audubon,IA,19009,19009,5.55
Benton,IA,19011,19011,4.01
Black Hawk,IA,19013,19013,2.74
Boone,IA,19015,19015,4.37
Bremer,IA,19017,19017,3
Buchanan,IA,19019,19019,4.96
Buena Vista,IA,19021,19021,2.32
Butler,IA,19023,19023,3.82
Calhoun,IA,19025,19025,3.55
Carroll,IA,19027,19027,2.4
Cass,IA,19029,19029,7.35
Cedar,IA,19031,19031,5.52
Cerro Gordo,IA,19033,19033,3.36
Cherokee,IA,19035,19035,3.58
Chickasaw,IA,19037,19037,5.98
Clarke,IA,19039,19039,10.41
Clay,IA,19041,19041,3.6
Clayton,IA,19043,19043,6.94
Clinton,IA,19045,19045,3.76
Crawford,IA,19047,19047,3.19
Dallas,IA,19049,19049,2.75
Davis,IA,19051,19051,6.27
Decatur,IA,19053,19053,12.94
Delaware,IA,19055,19055,7.46
Des Moines,IA,19057,19057,2.8
Dickinson,IA,19059,19059,2.26
Dubuque,IA,19061,19061,2.94
Emmet,IA,19063,19063,4.16
Fayette,IA,19065,19065,4.79
Floyd,IA,19067,19067,2.67
Franklin,IA,19069,19069,3.03
Fremont,IA,19071,19071,7.86
Greene,IA,19073,19073,4.31
Grundy,IA,19075,19075,4.83
Guthrie,IA,19077,19077,13.08
Hamilton,IA,19079,19079,3.74
Hancock,IA,19081,19081,4.04
Hardin,IA,19083,19083,4.34
Harrison,IA,19085,19085,10.11
Henry,IA,19087,19087,3.85
Howard,IA,19089,19089,5.44
Humboldt,IA,19091,19091,3.8
Ida,IA,19093,19093,7.3
Iowa,IA,19095,19095,5.61
Jackson,IA,19097,19097,6.47
Jasper,IA,19099,19099,4
Jefferson,IA,19101,19101,2.34
Johnson,IA,19103,19103,2.45
Jones,IA,19105,19105,9.57
Keokuk,IA,19107,19107,6.78
Kossuth,IA,19109,19109,1.63
Lee,IA,19111,19111,3.05
Linn,IA,19113,19113,2.77
Louisa,IA,19115,19115,3.9
Lucas,IA,19117,19117,11.92
Lyon,IA,19119,19119,2.75
Madison,IA,19121,19121,6.61
Mahaska,IA,19123,19123,4.76
Marion,IA,19125,19125,5.57
Marshall,IA,19127,19127,5.82
Mills,IA,19129,19129,3.3
Mitchell,IA,19131,19131,6.11
Monona,IA,19133,19133,6.52
Monroe,IA,19135,19135,6.17
Montgomery,IA,19137,19137,7.11
Muscatine,IA,19139,19139,2.61
O'Brien,IA,19141,19141,3.14
Osceola,IA,19143,19143,4.6
Page,IA,19145,19145,4.69
Palo Alto,IA,19147,19147,2.61
Plymouth,IA,19149,19149,3.04
Pocahontas,IA,19151,19151,5.09
Polk,IA,19153,19153,1.98
Pottawattamie,IA,19155,19155,3.47
Poweshiek,IA,19157,19157,8.23
Ringgold,IA,19159,19159,7.55
Sac,IA,19161,19161,4.77
Scott,IA,19163,19163,2.34
Shelby,IA,19165,19165,6.41
Sioux,IA,19167,19167,2.58
Story,IA,19169,19169,2.94
Tama,IA,19171,19171,5.91
Taylor,IA,19173,19173,6.62
Union,IA,19175,19175,5.27
Van Buren,IA,19177,19177,4.91
Wapello,IA,19179,19179,4.86
Warren,IA,19181,19181,3.94
Washington,IA,19183,19183,3.81
Wayne,IA,19185,19185,9.1
Webster,IA,19187,19187,3.26
Winnebago,IA,19189,19189,3.4
Winneshiek,IA,19191,19191,4.53
Woodbury,IA,19193,19193,3.1
Worth,IA,19195,19195,3.11
Wright,IA,19197,19197,4.07
Allen,KS,20001,20001,6.25
Anderson,KS,20003,20003,15.57
Atchison,KS,20005,20005,9.63
Barber,KS,20007,20007,3.79
Barton,KS,20009,20009,4.62
Bourbon,KS,20011,20011,6.5
Brown,KS,20013,20013,5.37
Butler,KS,20015,20015,4.56
Chase,KS,20017,20017,7.36
Chautauqua,KS,20019,20019,6.68
Cherokee,KS,20021,20021,2.29
Cheyenne,KS,20023,20023,2.95
Clark,KS,20025,20025,3.03
Clay,KS,20027,20027,7.1
Cloud,KS,20029,20029,4.63
Coffey,KS,20031,20031,8.91
Comanche,KS,20033,20033,2.22
Cowley,KS,20035,20035,6.22
Crawford,KS,20037,20037,2.56
Decatur,KS,20039,20039,4.16
Dickinson,KS,20041,20041,4.06
Doniphan,KS,20043,20043,6.84
Douglas,KS,20045,20045,3.56
Edwards,KS,20047,20047,5.22
Elk,KS,20049,20049,18.17
Ellis,KS,20051,20051,2.48
Ellsworth,KS,20053,20053,7
Finney,KS,20055,20055,2.91
Ford,KS,20057,20057,1.65
Franklin,KS,20059,20059,7.6
Geary,KS,20061,20061,2.48
Gove,KS,20063,20063,2.97
Graham,KS,20065,20065,5.71
Grant,KS,20067,20067,4.78
Gray,KS,20069,20069,2.42
Greeley,KS,20071,20071,1.68
Greenwood,KS,20073,20073,11.38
Hamilton,KS,20075,20075,3.9
Harper,KS,20077,20077,6.27
Harvey,KS,20079,20079,2.09
Haskell,KS,20081,20081,4.38
Hodgeman,KS,20083,20083,2.52
Jackson,KS,20085,20085,5.54
Jefferson,KS,20087,20087,9.6
Jewell,KS,20089,20089,2.26
Johnson,KS,20091,20091,2.16
Kearny,KS,20093,20093,0.75
Kingman,KS,20095,20095,6.43
Kiowa,KS,20097,20097,3.74
Labette,KS,20099,20099,2.48
Lane,KS,20101,20101,5.1
Leavenworth,KS,20103,20103,3.5
Lincoln,KS,20105,20105,4.07
Linn,KS,20107,20107,22.74
Logan,KS,20109,20109,6.27
Lyon,KS,20111,20111,4.42
McPherson,KS,20113,20113,1.39
Marion,KS,20115,20115,6.56
Marshall,KS,20117,20117,3.29
Meade,KS,20119,20119,4.44
Miami,KS,20121,20121,7.02
Mitchell,KS,20123,20123,1.58
Montgomery,KS,20125,20125,2.85
Morris,KS,20127,20127,7.8
Morton,KS,20129,20129,9.01
Nemaha,KS,20131,20131,3.58
Neosho,KS,20133,20133,3.27
Ness,KS,20135,20135,3.85
Norton,KS,20137,20137,5.04
Osage,KS,20139,20139,11.9
Osborne,KS,20141,20141,2.95
Ottawa,KS,20143,20143,3.73
Pawnee,KS,20145,20145,2.69
Phillips,KS,20147,20147,3.97
Pottawatomie,KS,20149,20149,7.61
Pratt,KS,20151,20151,3.64
Rawlins,KS,20153,20153,2.25
Reno,KS,20155,20155,4.64
Republic,KS,20157,20157,7.19
Rice,KS,20159,20159,2.66
Riley,KS,20161,20161,2.52
Rooks,KS,20163,20163,4.02
Rush,KS,20165,20165,4.62
Russell,KS,20167,20167,4.47
Saline,KS,20169,20169,2.52
Scott,KS,20171,20171,1.88
Sedgwick,KS,20173,20173,2.5
Seward,KS,20175,20175,5.78
Shawnee,KS,20177,20177,3.08
Sheridan,KS,20179,20179,5.06
Sherman,KS,20181,20181,1.68
Smith,KS,20183,20183,3.63
Stafford,KS,20185,20185,5.63
Stanton,KS,20187,20187,0
Stevens,KS,20189,20189,2.95
Sumner,KS,20191,20191,3.46
Thomas,KS,20193,20193,1.91
Trego,KS,20195,20195,6.99
Wabaunsee,KS,20197,20197,3.85
Wallace,KS,20199,20199,3.4
Washington,KS,20201,20201,4.52
Wichita,KS,20203,20203,3.93
Wilson,KS,20205,20205,2.61
Woodson,KS,20207,20207,4.36
Wyandotte,KS,20209,20209,2.61
Adair,KY,21001,21001,10.11
Allen,KY,21003,21003,4
Anderson,KY,21005,21005,5.75
Ballard,KY,21007,21007,4.33
Barren,KY,21009,21009,3.95
Bath,KY,21011,21011,12.32
Bell,KY,21013,21013,5.52
Boone,KY,21015,21015,5.4
Bourbon,KY,21017,21017,4.02
Boyd,KY,21019,21019,5.43
Boyle,KY,21021,21021,7.54
Bracken,KY,21023,21023,25.14
Breathitt,KY,21025,21025,17.61
Breckinridge,KY,21027,21027,18.34
Bullitt,KY,21029,21029,3.99
Butler,KY,21031,21031,8.39
Caldwell,KY,21033,21033,9.38
Calloway,KY,21035,21035,3.67
Campbell,KY,21037,21037,3.57
Carlisle,KY,21039,21039,7.25
Carroll,KY,21041,21041,3.58
Carter,KY,21043,21043,10.39
Casey,KY,21045,21045,10.89
Christian,KY,21047,21047,4.67
Clark,KY,21049,21049,4.64
Clay,KY,21051,21051,15.31
Clinton,KY,21053,21053,3.45
Crittenden,KY,21055,21055,12.49
Cumberland,KY,21057,21057,5.16
Daviess,KY,21059,21059,5.53
Edmonson,KY,21061,21061,7
Elliott,KY,21063,21063,26.59
Estill,KY,21065,21065,14.03
Fayette,KY,21067,21067,3.89
Fleming,KY,21069,21069,13.6
Floyd,KY,21071,21071,6.75
Franklin,KY,21073,21073,3.91
Fulton,KY,21075,21075,4.07
Gallatin,KY,21077,21077,7
Garrard,KY,21079,21079,16.39
Grant,KY,21081,21081,10.39
Graves,KY,21083,21083,3.67
Grayson,KY,21085,21085,11.67
Green,KY,21087,21087,8.51
Greenup,KY,21089,21089,5.46
Hancock,KY,21091,21091,3.79
Hardin,KY,21093,21093,5.83
Harlan,KY,21095,21095,8.73
Harrison,KY,21097,21097,9.76
Hart,KY,21099,21099,13.5
Henderson,KY,21101,21101,5.14
Henry,KY,21103,21103,5.91
Hickman,KY,21105,21105,2.74
Hopkins,KY,21107,21107,6.32
Jackson,KY,21109,21109,18.8
Jefferson,KY,21111,21111,3.41
Jessamine,KY,21113,21113,3.75
Johnson,KY,21115,21115,11.03
Kenton,KY,21117,21117,4.46
Knott,KY,21119,21119,12.85
Knox,KY,21121,21121,8.14
Larue,KY,21123,21123,7.04
Laurel,KY,21125,21125,4.52
Lawrence,KY,21127,21127,10.87
Lee,KY,21129,21129,23.82
Leslie,KY,21131,21131,15.33
Letcher,KY,21133,21133,11.61
Lewis,KY,21135,21135,22.15
Lincoln,KY,21137,21137,12.07
Livingston,KY,21139,21139,3.81
Logan,KY,21141,21141,7.37
Lyon,KY,21143,21143,7.01
McCracken,KY,21145,21145,3.3
McCreary,KY,21147,21147,10.37
McLean,KY,21149,21149,7.29
Madison,KY,21151,21151,6.05
Magoffin,KY,21153,21153,19.63
Marion,KY,21155,21155,5.16
Marshall,KY,21157,21157,4.22
Martin,KY,21159,21159,16.92
Mason,KY,21161,21161,11.07
Meade,KY,21163,21163,13.94
Menifee,KY,21165,21165,13.5
Mercer,KY,21167,21167,9.85
Metcalfe,KY,21169,21169,6.52
Monroe,KY,21171,21171,11.79
Montgomery,KY,21173,21173,7.34
Morgan,KY,21175,21175,17.77
Muhlenberg,KY,21177,21177,9.9
Nelson,KY,21179,21179,10.42
Nicholas,KY,21181,21181,21.6
Ohio,KY,21183,21183,7.54
Oldham,KY,21185,21185,5.65
Owen,KY,21187,21187,13.88
Owsley,KY,21189,21189,17.76
Pendleton,KY,21191,21191,15.11
Perry,KY,21193,21193,6.05
Pike,KY,21195,21195,8.22
Powell,KY,21197,21197,15.68
Pulaski,KY,21199,21199,6.18
Robertson,KY,21201,21201,24.34
Rockcastle,KY,21203,21203,8.23
Rowan,KY,21205,21205,9.38
Russell,KY,21207,21207,4.92
Scott,KY,21209,21209,3.71
Shelby,KY,21211,21211,4.91
Simpson,KY,21213,21213,4.89
Spencer,KY,21215,21215,7.75
Taylor,KY,21217,21217,4.39
Todd,KY,21219,21219,6.13
Trigg,KY,21221,21221,5.45
Trimble,KY,21223,21223,2.13
Union,KY,21225,21225,8.99
Warren,KY,21227,21227,5.49
Washington,KY,21229,21229,9.1
Wayne,KY,21231,21231,6.28
Webster,KY,21233,21233,7.58
Whitley,KY,21235,21235,6.52
Wolfe,KY,21237,21237,18.85
Woodford,KY,21239,21239,2.2
Acadia,LA,22001,22001,9.3
Allen,LA,22003,22003,16.21
Ascension,LA,22005,22005,10.74
Assumption,LA,22007,22007,15.62
Avoyelles,LA,22009,22009,13.78
Beauregard,LA,22011,22011,12.07
Bienville,LA,22013,22013,12.31
Bossier,LA,22015,22015,3.81
Caddo,LA,22017,22017,4.04
Calcasieu,LA,22019,22019,4.81
Caldwell,LA,22021,22021,11.27
Cameron,LA,22023,22023,9.94
Catahoula,LA,22025,22025,11.06
Claiborne,LA,22027,22027,10.81
Concordia,LA,22029,22029,8.29
De Soto,LA,22031,22031,8.13
East Baton Rouge,LA,22033,22033,5.54
East Carroll,LA,22035,22035,0.68
East Feliciana,LA,22037,22037,12.42
Evangeline,LA,22039,22039,12.4
Franklin,LA,22041,22041,7.18
Grant,LA,22043,22043,7.84
Iberia,LA,22045,22045,6.95
Iberville,LA,22047,22047,8.08
Jackson,LA,22049,22049,12.16
Jefferson,LA,22051,22051,5.83
Jefferson Davis,LA,22053,22053,12.81
Lafayette,LA,22055,22055,7.17
Lafourche,LA,22057,22057,11.78
La Salle,LA,22059,22059,19.05
Lincoln,LA,22061,22061,4.9
Livingston,LA,22063,22063,15.05
Madison,LA,22065,22065,2.28
Morehouse,LA,22067,22067,7.66
Natchitoches,LA,22069,22069,6.79
Orleans,LA,22071,22071,6.49
Ouachita,LA,22073,22073,3.23
Plaquemines,LA,22075,22075,10.9
Pointe Coupee,LA,22077,22077,17.26
Rapides,LA,22079,22079,5.99
Red River,LA,22081,22081,13.66
Richland,LA,22083,22083,4.33
Sabine,LA,22085,22085,17.2
St. Bernard,LA,22087,22087,7.73
St. Charles,LA,22089,22089,7.5
St. Helena,LA,22091,22091,26.21
St. James,LA,22093,22093,9.33
St. John the Baptist,LA,22095,22095,11.65
St. Landry,LA,22097,22097,9.73
St. Martin,LA,22099,22099,9
St. Mary,LA,22101,22101,7.15
St. Tammany,LA,22103,22103,14.16
Tangipahoa,LA,22105,22105,18.2
Tensas,LA,22107,22107,1.59
Terrebonne,LA,22109,22109,9.97
Union,LA,22111,22111,7.23
Vermilion,LA,22113,22113,10.66
Vernon,LA,22115,22115,5.74
Washington,LA,22117,22117,13.97
Webster,LA,22119,22119,8.09
West Baton Rouge,LA,22121,22121,5.14
West Carroll,LA,22123,22123,6.55
West Feliciana,LA,22125,22125,11.65
Winn,LA,22127,22127,12.45
Androscoggin,ME,23001,23001,5.55
Aroostook,ME,23003,23003,4.72
Cumberland,ME,23005,23005,4.6
Franklin,ME,23007,23007,9.92
Hancock,ME,23009,23009,6.75
Kennebec,ME,23011,23011,6.36
Knox,ME,23013,23013,3.8
Lincoln,ME,23015,23015,7.37
Oxford,ME,23017,23017,11.52
Penobscot,ME,23019,23019,5.77
Piscataquis,ME,23021,23021,12.8
Sagadahoc,ME,23023,23023,5.18
Somerset,ME,23025,23025,9.36
Waldo,ME,23027,23027,9.43
Washington,ME,23029,23029,6.68
York,ME,23031,23031,7.85
Allegany,MD,24001,24001,7.09
Anne Arundel,MD,24003,24003,14.07
Baltimore,MD,24005,24005,9.4
Calvert,MD,24009,24009,30.8
Caroline,MD,24011,24011,16.52
Carroll,MD,24013,24013,20.23
Cecil,MD,24015,24015,11.23
Charles,MD,24017,24017,35.74
Dorchester,MD,24019,24019,9.61
Frederick,MD,24021,24021,22.78
Garrett,MD,24023,24023,7.97
Harford,MD,24025,24025,13.4
Howard,MD,24027,24027,12.83
Kent,MD,24029,24029,15.84
Montgomery,MD,24031,24031,17.03
Prince George's,MD,24033,24033,20.43
Queen Anne's,MD,24035,24035,23.5
St. Mary's,MD,24037,24037,16.12
Somerset,MD,24039,24039,6.93
Talbot,MD,24041,24041,14.98
Washington,MD,24043,24043,13.46
Wicomico,MD,24045,24045,5.79
Worcester,MD,24047,24047,6.25
Baltimore City,MD,24510,24510,13.12
Barnstable,MA,25001,25001,8.6
Berkshire,MA,25003,25003,4.66
Bristol,MA,25005,25005,12.88
Dukes,MA,25007,25007,0.7
Essex,MA,25009,25009,15.62
Franklin,MA,25011,25011,6.91
Hampden,MA,25013,25013,4.7
Hampshire,MA,25015,25015,4.71
Middlesex,MA,25017,25017,13.05
Nantucket,MA,25019,25019,1.69
Norfolk,MA,25021,25021,18.68
Plymouth,MA,25023,25023,19.58
Suffolk,MA,25025,25025,12.47
Worcester,MA,25027,25027,13.01
Alcona,MI,26001,26001,5.61
Alger,MI,26003,26003,10.64
Allegan,MI,26005,26005,3.96
Alpena,MI,26007,26007,2.6
Antrim,MI,26009,26009,6.97
Arenac,MI,26011,26011,12.12
Baraga,MI,26013,26013,5.65
Barry,MI,26015,26015,6.74
Bay,MI,26017,26017,5.22
Benzie,MI,26019,26019,5.88
Berrien,MI,26021,26021,4.18
Branch,MI,26023,26023,6.27
Calhoun,MI,26025,26025,4.3
Cass,MI,26027,26027,4.78
Charlevoix,MI,26029,26029,3.72
Cheboygan,MI,26031,26031,8.31
Chippewa,MI,26033,26033,3.36
Clare,MI,26035,26035,9.27
Clinton,MI,26037,26037,4.78
Crawford,MI,26039,26039,5.9
Delta,MI,26041,26041,6.59
Dickinson,MI,26043,26043,3.81
Eaton,MI,26045,26045,4.47
Emmet,MI,26047,26047,3.42
Genesee,MI,26049,26049,10.45
Gladwin,MI,26051,26051,9.71
Gogebic,MI,26053,26053,5.84
Grand Traverse,MI,26055,26055,4.01
Gratiot,MI,26057,26057,8.4
Hillsdale,MI,26059,26059,8.44
Houghton,MI,26061,26061,2.88
Huron,MI,26063,26063,6.09
Ingham,MI,26065,26065,5.35
Ionia,MI,26067,26067,5.72
Iosco,MI,26069,26069,5.51
Iron,MI,26071,26071,8.7
Isabella,MI,26073,26073,4.76
Jackson,MI,26075,26075,6.56
Kalamazoo,MI,26077,26077,3.86
Kalkaska,MI,26079,26079,8.54
Kent,MI,26081,26081,3.59
Keweenaw,MI,26083,26083,4.31
Lake,MI,26085,26085,8.46
Lapeer,MI,26087,26087,19.02
Leelanau,MI,26089,26089,4.36
Lenawee,MI,26091,26091,10.58
Livingston,MI,26093,26093,14.01
Luce,MI,26095,26095,3.38
Mackinac,MI,26097,26097,7.12
Macomb,MI,26099,26099,7.54
Manistee,MI,26101,26101,6.11
Marquette,MI,26103,26103,3.47
Mason,MI,26105,26105,3.34
Mecosta,MI,26107,26107,9.08
Menominee,MI,26109,26109,4.92
Midland,MI,26111,26111,4.47
Missaukee,MI,26113,26113,6.67
Monroe,MI,26115,26115,5.91
Montcalm,MI,26117,26117,12.36
Montmorency,MI,26119,26119,7.76
Muskegon,MI,26121,26121,4.42
Newaygo,MI,26123,26123,11.57
Oakland,MI,26125,26125,6.59
Oceana,MI,26127,26127,6
Ogemaw,MI,26129,26129,9.4
Ontonagon,MI,26131,26131,11.16
Osceola,MI,26133,26133,6.77
Oscoda,MI,26135,26135,6.54
Otsego,MI,26137,26137,4.88
Ottawa,MI,26139,26139,2.88
Presque Isle,MI,26141,26141,8.67
Roscommon,MI,26143,26143,10.1
Saginaw,MI,26145,26145,5.13
St. Clair,MI,26147,26147,14.39
St. Joseph,MI,26149,26149,4.83
Sanilac,MI,26151,26151,13.02
Schoolcraft,MI,26153,26153,6.15
Shiawassee,MI,26155,26155,9.14
Tuscola,MI,26157,26157,13.46
Van Buren,MI,26159,26159,5.48
Washtenaw,MI,26161,26161,5.41
Wayne,MI,26163,26163,5.49
Wexford,MI,26165,26165,6.53
Aitkin,MN,27001,27001,11.45
Anoka,MN,27003,27003,6.87
Becker,MN,27005,27005,7.17
Beltrami,MN,27007,27007,5.34
Benton,MN,27009,27009,7.34
Big Stone,MN,27011,27011,3.37
Blue Earth,MN,27013,27013,4.1
Brown,MN,27015,27015,3.41
Carlton,MN,27017,27017,5.35
Carver,MN,27019,27019,5.93
Cass,MN,27021,27021,6.21
Chippewa,MN,27023,27023,3.23
Chisago,MN,27025,27025,15.81
Clay,MN,27027,27027,3.8
Clearwater,MN,27029,27029,8.66
Cook,MN,27031,27031,1.92
Cottonwood,MN,27033,27033,4.29
Crow Wing,MN,27035,27035,5.63
Dakota,MN,27037,27037,4.53
Dodge,MN,27039,27039,5.04
Douglas,MN,27041,27041,4.23
Faribault,MN,27043,27043,4.76
Fillmore,MN,27045,27045,8.93
Freeborn,MN,27047,27047,5.4
Goodhue,MN,27049,27049,8.46
Grant,MN,27051,27051,4.38
Hennepin,MN,27053,27053,3.75
Houston,MN,27055,27055,4.55
Hubbard,MN,27057,27057,6.4
Isanti,MN,27059,27059,20.53
Itasca,MN,27061,27061,7.33
Jackson,MN,27063,27063,2.59
Kanabec,MN,27065,27065,18.29
Kandiyohi,MN,27067,27067,4.22
Kittson,MN,27069,27069,10.29
Koochiching,MN,27071,27071,4.16
Lac qui Parle,MN,27073,27073,5.79
Lake,MN,27075,27075,6.07
Lake of the Woods,MN,27077,27077,6.33
Le Sueur,MN,27079,27079,9.03
Lincoln,MN,27081,27081,5.01
Lyon,MN,27083,27083,3.05
McLeod,MN,27085,27085,9.66
Mahnomen,MN,27087,27087,4.11
Marshall,MN,27089,27089,6.91
Martin,MN,27091,27091,3.91
Meeker,MN,27093,27093,9.14
Mille Lacs,MN,27095,27095,15.27
Morrison,MN,27097,27097,8.61
Mower,MN,27099,27099,3.79
Murray,MN,27101,27101,4.79
Nicollet,MN,27103,27103,4.78
Nobles,MN,27105,27105,3.48
Norman,MN,27107,27107,10.87
Olmsted,MN,27109,27109,3.34
Otter Tail,MN,27111,27111,6.64
Pennington,MN,27113,27113,2.9
Pine,MN,27115,27115,17.91
Pipestone,MN,27117,27117,7.15
Polk,MN,27119,27119,4.71
Pope,MN,27121,27121,3.68
Ramsey,MN,27123,27123,4.38
Red Lake,MN,27125,27125,6.18
Redwood,MN,27127,27127,4.19
Renville,MN,27129,27129,4.31
Rice,MN,27131,27131,7.33
Rock,MN,27133,27133,2.51
Roseau,MN,27135,27135,3.32
St. Louis,MN,27137,27137,4.48
Scott,MN,27139,27139,5.04
Sherburne,MN,27141,27141,15.02
Sibley,MN,27143,27143,8.68
Stearns,MN,27145,27145,6.19
Steele,MN,27147,27147,5.1
Stevens,MN,27149,27149,2.71
Swift,MN,27151,27151,3.61
Todd,MN,27153,27153,8.28
Traverse,MN,27155,27155,4.34
Wabasha,MN,27157,27157,6.76
Wadena,MN,27159,27159,5.73
Waseca,MN,27161,27161,5.43
Washington,MN,27163,27163,4.75
Watonwan,MN,27165,27165,4.48
Wilkin,MN,27167,27167,2.86
Winona,MN,27169,27169,3.81
Wright,MN,27171,27171,11.91
Yellow Medicine,MN,27173,27173,3.12
Adams,MS,28001,28001,7.82
Alcorn,MS,28003,28003,7.24
Amite,MS,28005,28005,22.73
Attala,MS,28007,28007,20.86
Benton,MS,28009,28009,12.41
Bolivar,MS,28011,28011,4.8
Calhoun,MS,28013,28013,8.48
Carroll,MS,28015,28015,9.01
Chickasaw,MS,28017,28017,6.5
Choctaw,MS,28019,28019,15.41
Claiborne,MS,28021,28021,7.48
Clarke,MS,28023,28023,8.88
Clay,MS,28025,28025,6.19
Coahoma,MS,28027,28027,7.09
Copiah,MS,28029,28029,14.28
Covington,MS,28031,28031,8.65
DeSoto,MS,28033,28033,4.21
Forrest,MS,28035,28035,5.38
Franklin,MS,28037,28037,14.6
George,MS,28039,28039,22.79
Greene,MS,28041,28041,15.02
Grenada,MS,28043,28043,7.94
Hancock,MS,28045,28045,11.09
Harrison,MS,28047,28047,5.12
Hinds,MS,28049,28049,3.32
Holmes,MS,28051,28051,11.14
Humphreys,MS,28053,28053,11.52
Issaquena,MS,28055,28055,10.82
Itawamba,MS,28057,28057,4.2
Jackson,MS,28059,28059,5.52
Jasper,MS,28061,28061,13.22
Jefferson,MS,28063,28063,6
Jefferson Davis,MS,28065,28065,19.48
Jones,MS,28067,28067,4.47
Kemper,MS,28069,28069,7.64
Lafayette,MS,28071,28071,7.02
Lamar,MS,28073,28073,8.29
Lauderdale,MS,28075,28075,3.35
Lawrence,MS,28077,28077,16.14
Leake,MS,28079,28079,13.77
Lee,MS,28081,28081,3.32
Leflore,MS,28083,28083,2.94
Lincoln,MS,28085,28085,14.71
Lowndes,MS,28087,28087,4.02
Madison,MS,28089,28089,3.18
Marion,MS,28091,28091,17.92
Marshall,MS,28093,28093,4.99
Monroe,MS,28095,28095,4.56
Montgomery,MS,28097,28097,7.72
Neshoba,MS,28099,28099,10.01
Newton,MS,28101,28101,10.93
Noxubee,MS,28103,28103,12.5
Oktibbeha,MS,28105,28105,4.12
Panola,MS,28107,28107,8.62
Pearl River,MS,28109,28109,20.94
Perry,MS,28111,28111,11.25
Pike,MS,28113,28113,7.96
Pontotoc,MS,28115,28115,5.98
Prentiss,MS,28117,28117,8.56
Quitman,MS,28119,28119,5.77
Rankin,MS,28121,28121,4.81
Scott,MS,28123,28123,8.92
Sharkey,MS,28125,28125,8.99
Simpson,MS,28127,28127,14.38
Smith,MS,28129,28129,14.69
Stone,MS,28131,28131,14.05
Sunflower,MS,28133,28133,4.28
Tallahatchie,MS,28135,28135,9.8
Tate,MS,28137,28137,11.58
Tippah,MS,28139,28139,9.11
Tishomingo,MS,28141,28141,6.49
Tunica,MS,28143,28143,5.48
Union,MS,28145,28145,3.46
Walthall,MS,28147,28147,15.24
Warren,MS,28149,28149,4.79
Washington,MS,28151,28151,2.02
Wayne,MS,28153,28153,15.85
Webster,MS,28155,28155,10.35
Wilkinson,MS,28157,28157,19.11
Winston,MS,28159,28159,10.57
Yalobusha,MS,28161,28161,9.71
Yazoo,MS,28163,28163,7.33
Adair,MO,29001,29001,3.4
Andrew,MO,29003,29003,7.23
Atchison,MO,29005,29005,5.41
Audrain,MO,29007,29007,6.58
Barry,MO,29009,29009,7.79
Barton,MO,29011,29011,6.39
Bates,MO,29013,29013,19.62
Benton,MO,29015,29015,14.09
Bollinger,MO,29017,29017,13.09
Boone,MO,29019,29019,2.29
Buchanan,MO,29021,29021,4.31
Butler,MO,29023,29023,3.94
Caldwell,MO,29025,29025,19.88
Callaway,MO,29027,29027,4.6
Camden,MO,29029,29029,6.83
Cape Girardeau,MO,29031,29031,4.9
Carroll,MO,29033,29033,12.15
Carter,MO,29035,29035,10.41
Cass,MO,29037,29037,6.07
Cedar,MO,29039,29039,11.13
Chariton,MO,29041,29041,10.55
Christian,MO,29043,29043,3.45
Clark,MO,29045,29045,7.02
Clay,MO,29047,29047,3
Clinton,MO,29049,29049,13.32
Cole,MO,29051,29051,2.6
Cooper,MO,29053,29053,7.56
Crawford,MO,29055,29055,12.42
Dade,MO,29057,29057,10.88
Dallas,MO,29059,29059,8.62
Daviess,MO,29061,29061,14.23
DeKalb,MO,29063,29063,7.05
Dent,MO,29065,29065,9.12
Douglas,MO,29067,29067,16.43
Dunklin,MO,29069,29069,6.58
Franklin,MO,29071,29071,12.8
Gasconade,MO,29073,29073,12.63
Gentry,MO,29075,29075,9.77
Greene,MO,29077,29077,3
Grundy,MO,29079,29079,2.86
Harrison,MO,29081,29081,9.08
Henry,MO,29083,29083,12.22
Hickory,MO,29085,29085,19.18
Holt,MO,29087,29087,3.61
Howard,MO,29089,29089,7.09
Howell,MO,29091,29091,4.57
Iron,MO,29093,29093,13.25
Jackson,MO,29095,29095,3.47
Jasper,MO,29097,29097,2.72
Jefferson,MO,29099,29099,10.21
Johnson,MO,29101,29101,7.15
Knox,MO,29103,29103,7.04
Laclede,MO,29105,29105,4.6
Lafayette,MO,29107,29107,12.44
